ride_id,train_name,origin_station,destination_station,departure_time_origin,day_of_week,hour_of_day,delay_at_dest
-1029224351861462659-2504210740,ICE 2570,Göttingen,Berlin-Spandau,2025-04-21 10:09:00,0,10,-3
-1029224351861462659-2504210740,ICE 2570,Göttingen,Berlin Hbf,2025-04-21 10:09:00,0,10,-3
-1029224351861462659-2504210740,ICE 2570,Göttingen,Berlin Ostbahnhof,2025-04-21 10:09:00,0,10,1
-1029224351861462659-2504210740,ICE 2570,Hildesheim Hbf,Braunschweig Hbf,2025-04-21 10:37:00,0,10,0
-1029224351861462659-2504210740,ICE 2570,Hildesheim Hbf,Wolfsburg Hbf,2025-04-21 10:37:00,0,10,1
-1029224351861462659-2504210740,ICE 2570,Hildesheim Hbf,Berlin-Spandau,2025-04-21 10:37:00,0,10,-3
-1029224351861462659-2504210740,ICE 2570,Hildesheim Hbf,Berlin Hbf,2025-04-21 10:37:00,0,10,-3
-1029224351861462659-2504210740,ICE 2570,Hildesheim Hbf,Berlin Ostbahnhof,2025-04-21 10:37:00,0,10,1
-1029224351861462659-2504210740,ICE 2570,Braunschweig Hbf,Wolfsburg Hbf,2025-04-21 11:03:00,0,11,1
-1029224351861462659-2504210740,ICE 2570,Braunschweig Hbf,Berlin-Spandau,2025-04-21 11:03:00,0,11,-3
-1029224351861462659-2504210740,ICE 2570,Braunschweig Hbf,Berlin Hbf,2025-04-21 11:03:00,0,11,-3
-1029224351861462659-2504210740,ICE 2570,Braunschweig Hbf,Berlin Ostbahnhof,2025-04-21 11:03:00,0,11,1
-1029224351861462659-2504210740,ICE 2570,Wolfsburg Hbf,Berlin-Spandau,2025-04-21 11:20:00,0,11,-3
-1029224351861462659-2504210740,ICE 2570,Wolfsburg Hbf,Berlin Hbf,2025-04-21 11:20:00,0,11,-3
-1029224351861462659-2504210740,ICE 2570,Wolfsburg Hbf,Berlin Ostbahnhof,2025-04-21 11:20:00,0,11,1
-1029224351861462659-2504210740,ICE 2570,Berlin-Spandau,Berlin Hbf,2025-04-21 12:18:00,0,12,-3
-1029224351861462659-2504210740,ICE 2570,Berlin-Spandau,Berlin Ostbahnhof,2025-04-21 12:18:00,0,12,1
-1029224351861462659-2504210740,ICE 2570,Berlin Hbf,Berlin Ostbahnhof,2025-04-21 12:36:00,0,12,1
-1029224351861462659-2504220740,ICE 2570,Frankfurt(Main)Hbf,Kassel-Wilhelmshöhe,2025-04-22 07:40:00,1,7,0
-1029224351861462659-2504220740,ICE 2570,Frankfurt(Main)Hbf,Göttingen,2025-04-22 07:40:00,1,7,13
-1029224351861462659-2504220740,ICE 2570,Frankfurt(Main)Hbf,Hildesheim Hbf,2025-04-22 07:40:00,1,7,12
-1029224351861462659-2504220740,ICE 2570,Frankfurt(Main)Hbf,Braunschweig Hbf,2025-04-22 07:40:00,1,7,13
-1029224351861462659-2504220740,ICE 2570,Frankfurt(Main)Hbf,Wolfsburg Hbf,2025-04-22 07:40:00,1,7,14
-1029224351861462659-2504220740,ICE 2570,Frankfurt(Main)Hbf,Berlin-Spandau,2025-04-22 07:40:00,1,7,5
-1029224351861462659-2504220740,ICE 2570,Frankfurt(Main)Hbf,Berlin Hbf,2025-04-22 07:40:00,1,7,10
-1029224351861462659-2504220740,ICE 2570,Frankfurt(Main)Hbf,Berlin Südkreuz,2025-04-22 07:40:00,1,7,12
-1029224351861462659-2504220740,ICE 2570,Kassel-Wilhelmshöhe,Göttingen,2025-04-22 09:49:00,1,9,13
-1029224351861462659-2504220740,ICE 2570,Kassel-Wilhelmshöhe,Hildesheim Hbf,2025-04-22 09:49:00,1,9,12
-1029224351861462659-2504220740,ICE 2570,Kassel-Wilhelmshöhe,Braunschweig Hbf,2025-04-22 09:49:00,1,9,13
-1029224351861462659-2504220740,ICE 2570,Kassel-Wilhelmshöhe,Wolfsburg Hbf,2025-04-22 09:49:00,1,9,14
-1029224351861462659-2504220740,ICE 2570,Kassel-Wilhelmshöhe,Berlin-Spandau,2025-04-22 09:49:00,1,9,5
-1029224351861462659-2504220740,ICE 2570,Kassel-Wilhelmshöhe,Berlin Hbf,2025-04-22 09:49:00,1,9,10
-1029224351861462659-2504220740,ICE 2570,Kassel-Wilhelmshöhe,Berlin Südkreuz,2025-04-22 09:49:00,1,9,12
-1029224351861462659-2504220740,ICE 2570,Göttingen,Hildesheim Hbf,2025-04-22 10:09:00,1,10,12
