ride_id,train_name,station,destination_station,departure_time_origin,day_of_week,hour_of_day,delay_at_dest,time_hour,time,temp_celsius,humidity,wind_speed,weather,rain_amount,snow_amount
-1029224351861462659-2504180740,ICE 2570,Berlin-Spandau,Berlin Südkreuz,2025-04-18 12:24:00,4,12,16,2025-04-18 12:00:00,2025-04-18 12:00:00,7.6,98.0,5.61,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Berlin Hbf,Berlin Südkreuz,2025-04-18 12:37:00,4,12,16,2025-04-18 12:00:00,2025-04-18 12:00:00,7.6,98.0,5.61,overcast clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Frankfurt(Main)Hbf,Kassel-Wilhelmshöhe,2025-04-19 07:40:00,5,7,7,2025-04-19 07:00:00,2025-04-19 07:00:00,7.29,91.0,1.54,broken clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Frankfurt(Main)Hbf,Göttingen,2025-04-19 07:40:00,5,7,7,2025-04-19 07:00:00,2025-04-19 07:00:00,7.29,91.0,1.54,broken clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Frankfurt(Main)Hbf,Hildesheim Hbf,2025-04-19 07:40:00,5,7,8,2025-04-19 07:00:00,2025-04-19 07:00:00,7.29,91.0,1.54,broken clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Frankfurt(Main)Hbf,Braunschweig Hbf,2025-04-19 07:40:00,5,7,6,2025-04-19 07:00:00,2025-04-19 07:00:00,7.29,91.0,1.54,broken clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Frankfurt(Main)Hbf,Wolfsburg Hbf,2025-04-19 07:40:00,5,7,8,2025-04-19 07:00:00,2025-04-19 07:00:00,7.29,91.0,1.54,broken clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Frankfurt(Main)Hbf,Berlin-Spandau,2025-04-19 07:40:00,5,7,6,2025-04-19 07:00:00,2025-04-19 07:00:00,7.29,91.0,1.54,broken clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Frankfurt(Main)Hbf,Berlin Hbf,2025-04-19 07:40:00,5,7,8,2025-04-19 07:00:00,2025-04-19 07:00:00,7.29,91.0,1.54,broken clouds,0.0,0.0
-1029224351861462659-2504190740,ICE 2570,Frankfurt(Main)Hbf,Berlin Ostbahnhof,2025-04-19 07:40:00,5,7,15,2025-04-19 07:00:00,2025-04-19 07:00:00,7.29,91.0,1.54,broken clouds,0.0,0.0
